Additional_Number_of_Scoring,Average_Score,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Tags
234,8,23,1295,48,3,"[' Business trip ', ' Solo traveler ', ' Standard Double Twin Room ', ' Stayed 2 nights ']"
253,8.2,3,1191,4,8,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
904,8.1,25,16670,3,5,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
568,8.6,0,1686,13,6,"[' Business trip ', ' Solo traveler ', ' Deluxe King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
38,8,19,216,3,1,"[' Leisure trip ', ' Couple ', ' Classic Room ', ' Stayed 3 nights ']"
279,8.8,0,3598,6,49,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
70,8.1,5,276,9,2,"[' Leisure trip ', ' Couple ', ' Budget Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
249,7.7,11,1573,7,13,"[' Business trip ', ' Solo traveler ', ' Single Room ', ' Stayed 3 nights ']"
1058,7.7,0,4380,9,1,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
383,8.9,9,2295,12,41,"[' Leisure trip ', ' Family with young children ', ' Deluxe Double Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
107,9.5,2,385,9,2,"[' Leisure trip ', ' Couple ', ' Luxury Junior Suite ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
1427,8.8,42,4305,12,6,"[' Leisure trip ', ' Couple ', ' Queen Room Mobility Access ', ' Stayed 1 night ']"
1258,9.4,8,4204,9,3,"[' Leisure trip ', ' Family with older children ', ' Superior Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
153,8.2,10,1718,4,6,"[' Business trip ', ' Solo traveler ', ' Deluxe Triple Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
2682,7.1,15,9086,0,1,"[' Leisure trip ', ' Group ', ' Standard Double Room without Window ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
56,8.8,15,516,12,7,"[' Leisure trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
325,8.2,17,3870,8,4,"[' Leisure trip ', ' Couple ', ' Basic Double Room ', ' Stayed 7 nights ', ' Submitted from a mobile device ']"
930,8.9,0,2836,16,11,"[' Leisure trip ', ' Couple ', ' Deluxe King or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
1831,8.1,15,7105,19,3,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
75,8.8,31,545,9,1,"[' Leisure trip ', ' Family with older children ', ' Classic Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
368,7.5,13,2092,5,15,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 3 nights ']"
788,8.5,0,2635,5,5,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
904,8.1,3,16670,6,4,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 1 night ']"
119,9.2,26,704,7,46,"[' Leisure trip ', ' Couple ', ' Superior Room ', ' Stayed 2 nights ']"
589,7,156,4231,11,2,"[' Business trip ', ' Group ', ' Standard Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
332,8.7,0,1449,7,4,"[' Couple ', ' Small Double Room ', ' Stayed 3 nights ']"
407,7.3,10,3161,23,6,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
227,6.9,104,747,5,7,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
312,8.5,13,3442,14,13,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 7 nights ', ' Submitted from a mobile device ']"
229,8.9,8,2369,4,1,"[' Couple ', ' Superior Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
416,8.5,28,5177,14,4,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 7 nights ']"
69,7.7,0,663,41,3,"[' Business trip ', ' Solo traveler ', ' Superior M Double Room ', ' Stayed 4 nights ']"
974,9,3,3040,5,1,"[' Leisure trip ', ' Couple ', ' Double Deluxe Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
64,8.5,20,904,29,3,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 1 night ']"
827,8.6,15,4593,19,2,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
168,8.1,44,2823,33,7,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 1 night ']"
538,8.2,29,3342,11,1,"[' Leisure trip ', ' Group ', ' City Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
397,8.3,27,1640,26,3,"[' Leisure trip ', ' Couple ', ' King Room with Sofa Bed and Balcony ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
409,8.4,20,1479,60,6,"[' Leisure trip ', ' Couple ', ' Queen Hilton Guest Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
803,8.4,30,3911,9,12,"[' Leisure trip ', ' Family with young children ', ' Executive Queen Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']"
240,9.2,0,1284,10,17,"[' Leisure trip ', ' Couple ', ' Superior Queen Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
832,8.9,0,2924,11,1,"[' Leisure trip ', ' Couple ', ' Superior Queen Room ', ' Stayed 3 nights ']"
149,8.5,3,956,5,3,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
2623,8.7,0,12158,47,2,"[' Leisure trip ', ' Family with older children ', ' Studio Triple ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
107,7.9,0,1503,17,4,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 3 nights ']"
343,8.4,0,3222,11,30,"[' Leisure trip ', ' Couple ', ' Double Room 1 2 Adults ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
74,8.3,0,1114,20,1,"[' Leisure trip ', ' Couple ', ' 2 rooms ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
804,9.1,123,3802,67,24,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ']"
1831,8.1,7,7105,7,1,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
119,8.3,27,974,7,14,"[' Leisure trip ', ' Couple ', ' Junior Suite ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
804,9.1,0,3802,40,20,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 3 nights ']"
687,8.2,9,2898,5,1,"[' Leisure trip ', ' Family with young children ', ' Queen Suite with Lounge Access ', ' Stayed 4 nights ']"
2682,7.1,20,9086,17,1,"[' Leisure trip ', ' Group ', ' Standard Double Room without Window ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
681,8.9,40,2692,3,3,"[' Leisure trip ', ' Solo traveler ', ' Standard Queen Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
166,8.1,0,1738,14,5,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
109,8.7,68,977,37,30,"[' Leisure trip ', ' Family with older children ', ' Deluxe Double or Twin Room ', ' Stayed 6 nights ']"
19,9,14,300,22,5,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 4 nights ']"
338,8.4,0,1925,100,4,"[' Leisure trip ', ' Couple ', ' Superior Double Room with City View ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
832,9.1,21,4672,102,21,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ']"
247,9.2,22,1914,14,1,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 3 nights ']"
950,8.6,0,3486,4,36,"[' Business trip ', ' Solo traveler ', ' Standard Twin Room ', ' Stayed 2 nights ']"
1195,8.3,0,4684,198,1,"[' Leisure trip ', ' Couple ', ' Executive Double Room River View ', ' Stayed 2 nights ']"
190,8.8,0,2220,26,2,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
391,8.8,5,4324,3,1,"[' Business trip ', ' Solo traveler ', ' Superior Double Room with City View ', ' Stayed 5 nights ', ' Submitted from a mobile device ']"
623,9,0,2750,23,2,"[' Leisure trip ', ' Group ', ' Superior King or Twin Room ', ' Stayed 4 nights ']"
118,7.2,84,1168,3,1,"[' Business trip ', ' Solo traveler ', ' Superior Twin Room ', ' Stayed 15 nights ', ' Submitted from a mobile device ']"
283,8.7,0,2678,2,1,"[' Business trip ', ' Group ', ' Superior Twin Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']"
221,7.5,0,3811,15,4,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 7 nights ']"
417,8.9,0,1744,29,15,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
76,8.9,57,348,11,30,"[' Leisure trip ', ' Group ', ' Deluxe Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
392,8.5,67,3602,40,1,"[' Leisure trip ', ' Group ', ' Junior Suite with Terrace ', ' Stayed 3 nights ']"
88,7.7,8,1238,6,1,"[' Leisure trip ', ' Solo traveler ', ' Standard Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
493,8.6,8,2865,11,7,"[' Business trip ', ' Solo traveler ', ' Superior Double or Twin Room ', ' Stayed 1 night ']"
113,8.3,24,1127,20,15,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 4 nights ']"
1258,9.4,6,4204,0,1,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
368,7.5,6,2092,2,40,"[' Business trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
843,7.8,9,3801,14,1,"[' Leisure trip ', ' Couple ', ' Double Hilton Guestroom ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
65,8.8,21,617,17,41,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 2 nights ']"
112,8.3,0,1062,16,8,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']"
2682,7.1,8,9086,0,12,"[' Business trip ', ' Solo traveler ', ' Standard Single Room ', ' Stayed 1 night ']"
452,7.6,11,2562,2,2,"[' Leisure trip ', ' Couple ', ' Standard Double ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
950,8.6,9,3486,13,1,"[' Leisure trip ', ' Couple ', ' Standard Double Room with Bridge View ', ' Stayed 1 night ']"
617,8.8,0,2213,34,5,"[' Business trip ', ' Family with young children ', ' Executive King Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']"
359,9.3,0,1694,7,10,"[' Leisure trip ', ' Solo traveler ', ' Studio Suite ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
791,7.3,6,3609,2,7,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 2 nights ']"
568,8.6,11,1686,8,1,"[' Leisure trip ', ' Couple ', ' Deluxe King Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
726,8.6,0,4530,13,3,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
108,8.5,16,2080,15,5,"[' Leisure trip ', ' Family with older children ', ' Comfort Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
2623,8.7,0,12158,11,12,"[' Leisure trip ', ' Couple ', ' Studio Triple ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
359,9.3,0,1694,16,11,"[' Leisure trip ', ' Family with older children ', ' Deluxe Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
116,9,42,1031,45,13,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
50,8.3,14,847,8,1,"[' Leisure trip ', ' Family with young children ', ' Economy Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
416,8.5,0,5177,47,10,"[' Leisure trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
255,8.1,12,1290,8,1,"[' Leisure trip ', ' Group ', ' Family Queen Room ', ' Stayed 4 nights ']"
152,8.4,18,802,11,11,"[' Leisure trip ', ' Group ', ' Fabulous Bank King ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
391,8.8,27,4887,31,24,"[' Business trip ', ' Solo traveler ', ' Double or Twin Room ', ' Stayed 5 nights ']"
221,7.5,4,3811,0,14,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
1299,8.7,9,5394,5,6,"[' Leisure trip ', ' Solo traveler ', ' Executive Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
1100,9.1,7,3611,12,1,"[' Leisure trip ', ' Travelers with friends ', ' Standard ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
132,8.1,4,1700,8,2,"[' Leisure trip ', ' Group ', ' Standard Single Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
174,8.8,127,2464,27,7,"[' Business trip ', ' Solo traveler ', ' Double or Twin Room with Courtyard View ', ' Stayed 2 nights ']"
81,9,0,707,40,1,"[' Leisure trip ', ' Family with young children ', ' Superior Double Room Loge Sup rieure ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
160,9,53,1055,20,4,"[' Couple ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
540,8.9,10,2274,22,2,"[' Leisure trip ', ' Couple ', ' Deluxe Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
301,8.4,0,3445,10,1,"[' Leisure trip ', ' Family with older children ', ' Triple Room ', ' Stayed 1 night ']"
312,8.2,28,1505,10,6,"[' Leisure trip ', ' Family with young children ', ' Deluxe Double Room with Two Double Beds ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
154,8,37,768,2,1,"[' Leisure trip ', ' Family with older children ', ' Superior Double Room ', ' Stayed 2 nights ']"
879,8.8,3,2768,42,1,"[' Leisure trip ', ' Couple ', ' Double Room with Two Double Beds ', ' Stayed 2 nights ']"
347,8.4,28,3510,46,6,"[' Leisure trip ', ' Couple ', ' Double Room with Spa Bath ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
126,8.7,22,973,8,2,"[' Leisure trip ', ' Solo traveler ', ' Club Single Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
312,8.5,6,3442,2,3,"[' Leisure trip ', ' Family with older children ', ' Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
1195,8.3,2,4684,24,4,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
417,8.9,0,1744,14,9,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 2 nights ']"
522,8.8,0,2058,9,5,"[' Couple ', ' Deluxe Room Barlow Wing ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
1190,7.5,3,5180,0,1,"[' Leisure trip ', ' Group ', ' 2 rooms ', ' Stayed 1 night ']"
2682,7.1,40,9086,43,3,"[' Leisure trip ', ' Couple ', ' Standard Double Room without Window ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
19,7.5,12,101,14,6,"[' Leisure trip ', ' Couple ', ' Queen Guest Room ', ' Stayed 3 nights ']"
1058,7.7,17,4380,22,2,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
1274,7.7,65,6539,50,2,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ']"
315,9.3,9,2757,33,1,"[' Leisure trip ', ' Couple ', ' Superior Double Room with View ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
418,8.6,2,1572,12,2,"[' Leisure trip ', ' Solo traveler ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
179,8.8,11,1251,2,1,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']"
732,9.4,9,2200,8,1,"[' Couple ', ' Premier King Room with City View ', ' Stayed 1 night ']"
620,9,0,1974,5,10,"[' Leisure trip ', ' Solo traveler ', ' Superior King or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
37,8.5,11,422,57,3,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
495,8.5,3,2300,0,7,"[' Business trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 3 nights ']"
131,8.9,3,425,5,1,"[' Business trip ', ' Solo traveler ', ' Superior King Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
639,9.2,18,2619,14,8,"[' Leisure trip ', ' Couple ', ' Superior King Room ', ' Stayed 1 night ']"
283,8.3,0,3287,5,3,"[' Family with young children ', ' Classic Room ', ' Stayed 1 night ']"
975,8.7,0,7656,8,5,"[' Leisure trip ', ' Group ', ' Queen Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
241,7.7,12,1574,0,1,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
279,8.2,4,1140,13,1,"[' Leisure trip ', ' Solo traveler ', ' Small Double Room ', ' Stayed 1 night ']"
37,8.6,51,564,43,16,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 3 nights ']"
1936,8.7,10,7491,0,2,"[' Leisure trip ', ' Couple ', ' Queen Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
879,8.8,0,2768,39,2,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
404,9.1,12,3883,6,13,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
411,8.9,19,1738,26,4,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
2682,7.1,8,9086,10,1,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 2 nights ']"
1190,7.5,5,5180,3,3,"[' Family with young children ', ' Standard Twin Room ', ' Stayed 2 nights ']"
143,7.6,5,1313,3,1,"[' Leisure trip ', ' Family with young children ', ' Superior Family Room 2 Adults 1 Child ', ' Stayed 2 nights ']"
371,7.3,5,2215,21,1,"[' Leisure trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
441,7.5,40,1891,19,1,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 1 night ']"
252,7.9,22,3130,25,8,"[' Leisure trip ', ' Couple ', ' Double or Twin Room with Spa Access ', ' Stayed 5 nights ', ' Submitted from a mobile device ']"
540,8.9,37,2274,15,13,"[' Leisure trip ', ' Group ', ' Deluxe Twin Room ', ' Stayed 1 night ']"
115,8.4,7,1130,3,8,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
1172,7.8,8,5945,0,1,"[' Business trip ', ' Couple ', ' Standard Room ', ' Stayed 2 nights ']"
146,9.1,8,501,43,3,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ']"
353,8.1,0,4248,27,1,"[' Leisure trip ', ' Group ', ' Superior Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
289,8.8,13,2988,6,39,"[' Leisure trip ', ' Couple ', ' Deluxe Studio ', ' Stayed 3 nights ']"
285,8.7,3,3181,2,18,"[' Business trip ', ' Solo traveler ', ' Classic Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
465,8.9,3,2543,0,2,"[' Leisure trip ', ' Couple ', ' Luxury Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
1936,8.7,53,7491,8,1,"[' Leisure trip ', ' Family with young children ', ' Queen Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
205,8.1,0,1966,9,7,"[' Leisure trip ', ' Couple ', ' Standard Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
48,8.5,0,785,15,9,"[' Leisure trip ', ' Family with young children ', ' Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
91,9,22,509,41,5,"[' Leisure trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 1 night ']"
127,8.9,5,1498,22,3,"[' Leisure trip ', ' Couple ', ' Comfort Double Room with Terrace ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
118,7.2,39,1168,5,9,"[' Leisure trip ', ' Family with young children ', ' Deluxe Double Room with Terrace and Eiffel Tower View ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
283,8.3,58,3287,61,16,"[' Couple ', ' Classic Room ', ' Stayed 2 nights ']"
124,9.1,12,1286,4,20,"[' Leisure trip ', ' Couple ', ' Basic Double Room ', ' Stayed 6 nights ']"
2623,8.7,0,12158,6,15,"[' Leisure trip ', ' Group ', ' Superior Double Room with Internal View ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
1190,7.5,30,5180,0,3,"[' Business trip ', ' Group ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
321,8.6,55,3557,34,9,"[' Leisure trip ', ' Family with young children ', ' Deluxe Double Room ', ' Stayed 4 nights ']"
908,8.5,2,3980,4,9,"[' Leisure trip ', ' Couple ', ' Executive King Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']"
355,8,15,1786,12,1,"[' Leisure trip ', ' Group ', ' Classic Twin Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']"
514,8.2,12,2665,17,1,"[' Leisure trip ', ' Couple ', ' Deluxe Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
109,8.7,133,1542,9,6,"[' Business trip ', ' Group ', ' Superior Double or Twin Room ', ' Stayed 2 nights ']"
1936,8.7,7,7491,17,1,"[' Leisure trip ', ' Family with young children ', ' Deluxe Queen Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
163,8.7,5,1319,13,33,"[' Business trip ', ' Solo traveler ', ' Urban Double or Twin Room ', ' Stayed 3 nights ']"
298,8.5,25,3550,6,1,"[' Leisure trip ', ' Group ', ' Standard Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
58,8.9,6,920,5,1,"[' Leisure trip ', ' Couple ', ' Double Room Intemporelle ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
70,9.1,34,232,20,25,"[' Leisure trip ', ' Couple ', ' Deluxe King Room ', ' Stayed 2 nights ']"
360,8.3,0,1181,8,7,"[' Leisure trip ', ' Solo traveler ', ' Queen Guest Room ', ' Stayed 2 nights ']"
317,7.6,3,1458,3,8,"[' Leisure trip ', ' Couple ', ' Small Double Room ', ' Stayed 1 night ']"
333,8,5,2611,19,1,"[' Group ', ' Standard Twin Room ', ' Stayed 1 night ']"
27,8.3,0,389,7,1,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room Tea Time Wine Tasting Included ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
807,8.5,4,3269,5,3,"[' Leisure trip ', ' Couple ', ' Queen Room ', ' Stayed 1 night ']"
10,8.6,75,51,26,18,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 1 night ']"
355,8,18,1786,21,2,"[' Leisure trip ', ' Couple ', ' Superior King Room ', ' Stayed 2 nights ']"
904,8.1,40,16670,8,12,"[' Leisure trip ', ' Family with young children ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
53,7.9,14,939,12,5,"[' Family with young children ', ' Apartment ', ' Stayed 3 nights ']"
687,8.2,0,2898,20,18,"[' Business trip ', ' Solo traveler ', ' Double Guest Room ', ' Stayed 1 night ']"
326,8.6,33,1032,7,7,"[' Leisure trip ', ' Couple ', ' One Bedroom Suite ', ' Stayed 1 night ']"
353,8.1,45,4248,20,3,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
685,8.6,10,2277,7,8,"[' Leisure trip ', ' Couple ', ' Queen Room ', ' Stayed 3 nights ']"
930,8.9,2,2836,8,1,"[' Leisure trip ', ' Family with young children ', ' Deluxe King or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
369,6.4,52,2275,11,5,"[' Leisure trip ', ' Solo traveler ', ' Cabin Single Room ', ' Stayed 1 night ']"
109,8.1,33,423,17,11,"[' Leisure trip ', ' Group ', ' Deluxe Double Room ', ' Stayed 2 nights ']"
333,8,3,2611,6,1,"[' Business trip ', ' Solo traveler ', ' Standard Twin Room ', ' Stayed 5 nights ']"
431,7.9,0,1532,4,2,"[' Business trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
93,8.3,21,1330,11,5,"[' Leisure trip ', ' Group ', ' Superior Room with 1 Queen Bed and Sofa ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
688,7.8,11,2147,3,2,"[' Leisure trip ', ' Solo traveler ', ' Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
211,8.1,16,2436,12,1,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']"
170,8.5,4,1738,2,1,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
404,8.6,36,1593,18,10,"[' Business trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 1 night ']"
531,8.7,54,1668,27,4,"[' Business trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
713,8.3,72,2826,18,3,"[' Leisure trip ', ' Solo traveler ', ' Standard Double or Twin Room ', ' Stayed 3 nights ']"
429,8.6,39,1462,15,6,"[' Leisure trip ', ' Group ', ' Twin Superior Room ', ' Stayed 2 nights ']"
417,8.9,0,1744,7,3,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
1274,7.7,13,6539,23,4,"[' Business trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 3 nights ']"
234,6.9,15,1884,0,3,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 1 night ']"
301,8.4,4,3445,8,8,"[' Leisure trip ', ' Family with young children ', ' Quadruple Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
540,8.9,261,2274,87,1,"[' Leisure trip ', ' Group ', ' Deluxe Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
1172,7.8,16,5945,36,62,"[' Leisure trip ', ' Couple ', ' Standard King Room Non Smoking ', ' Stayed 1 night ']"
